402,15.5,18,22,29,13,44,49,22,47,58,50,38,53,30,58,38.5,36.5,24
403,20,21,25,30,15,45,50,22,47.5,58,52,38.5,53,31,59.5,40,36,24.5
404,45,25.5,25,29,11.5,58,28,36,13.5,24,57.5,25,20,25,33,42,47,24
405,41,64,35,31,39,23,59.5,50,43,28,27,17,60,20,19,30,16,50.5
406,52,36,36,55,40,37,47,35,16,51,57,23,60,46,23,31,60,55
407,42,29,32,53,47,15,29,59.5,43,34,54,55.5,44,57,48,60,55,57
408,20,21,25,31,16.5,47,51,24,49,58,52.5,40.5,55,31,60,41,38,25
409,47.5,27,24.5,29.5,11,59,28,37,14,25,58,24.5,20,25,33,42,47,25
410,41.5,63.5,35,31.5,39.5,22.5,59,51,42,29,26,17,59,19,19,31,16,52
411,49,33,33,53,37,35,45,33,14,48,55,21,58,44,20,28,58,52
412,41,26.5,30,52,43,13,26,57,41,33,52,54,43,57,44,59.5,53,56
413,16,14.5,49,51,43,27,59,32.5,37,18,24,31,43.5,30,27,51,25,24
414,19,21,26,32,14.5,46,51,23,48,60,53,40,54,32,61.5,42,38,26
415,17.5,20.5,23,29,13,43,49,20.5,46,56,50,38,52,29.5,57,39,35,23
416,47.5,26,26,30,13,58.5,29,37,14.5,25.5,58.5,25,20,25,34,42,48,26
417,19,22,26,30,17,47,51,25,49,60,53,41,55,32,60,41,38,26
418,46,26,25,29,12.5,58.5,29,36,15,25,59,26,21,26,34,43.5,48,25
419,38,62,34,30,37,21,56,48,40,26,24,14,56,17,17,29,13,50
420,49,35,33,53,39,36,43,34,14,49,55,21,58,46,22,30,59,53
421,41.5,28,31,52,46,14,26.5,58,41,32,53,55,43,57,46,59,54,56
422,13.5,12,46,49,41.2,25,57,30,34,14,21,29,41,26,24.5,48,21.5,21
423,59,56,35,30.5,43,34,39,16,17,57.5,36.5,19.5,30.5,51,14,23,39,50
424,19,21,26,31,16,47,52,24,49,59,53,41,55,32,60,41,39,26
425,47,27,26,30,40,59,29,37,15,26,59,26,21,26,34,43,48,25
426,40,62,33,30,38,21,57,48,41,26,24,14,57,17,17,28,13,49
427,19,21,24,30,14,44,50,22,47,58,51.5,39,53,31,58.5,39,36.5,24.5
428,20,22,25,30,16,46,51,23,48,59,53,40,55,31,60,41,38,25
429,19,18,23,29,14,44,49,21,46,57,50,38,52,30,58,38,36,23
430,19,21,26,31,15,45,51,23,48,59,52,40,54.5,31,60,40,38,25
431,19.5,21,25,30.5,15.5,45.5,50,23,48,58.5,52.5,39.5,54,30.5,59.5,40,38,24
432,18,19,24,29.5,14,44,50,21,46,56.5,49,38,52,29.5,58,38,35,23
433,17.5,19,24,29,14,45,49.5,22,47,56,50.5,38,53,30,57.5,39,35.5,23.5
434,48.5,28,26.5,31,14,60,30,38,15.5,25.5,59,26.5,22,27,34.5,45,48.5,26
435,40,62,33,29,38,21,58,50,42,27,25,15,58,19,18,29,14,50
436,48,33.5,33,51,38.5,35,43,32,15,48,54,19.5,57,44,20,28.5,57.5,52
437,18,20,22.5,29,14,44,50,22,47,58.5,51.5,39,53,31,59.5,40,37,25
438,48,27.5,26,30,13,58.5,29,36,13.5,24,57,24.5,20,25,32,42.5,45.5,22.5
439,19,21,26,31,15,46,51,23,48,59,52,39,54,32,59,40,38,25
440,47,27,26,31,13,59.5,29,37,14.5,25,59,25.5,21,26,34,42,47,25
442,18.5,20,24.5,30.5,15,45,50.5,22.5,47,59,52,39,53,31,60,40,36,24.5
443,17.5,19.5,22.5,28.5,14.5,45,50,22.5,46,56,50.5,39,53,30,57,38,37,23
444,47,26,28,31,14.5,59,30,38,14.5,26,60,0,22,26,35,43,49,26
445,40.5,61.5,34,30,38.5,22,58,49,40.5,28,25.5,15.5,59,20,17.5,30,14.5,51
446,19,21,24,30,15,45,50,22,47,58,52,39,53,31,59,40,38,25
447,46,25,27,31,13,58,29.5,37,14.5,25,59,25.5,22,26,36,44,48,26
448,40,62,34.5,31,37,22,58,49,41,27.5,25,15,58,18,18,29,15,50
449,19.5,21,25,30,16,45,51,22,48,58,52,40,53,31,58,40,37,24
450,48,27,26,21,12,58,28,37,15,25,59,26,21,26,34,44,48,25
451,41,63,35,31,38,23,59,50,42,27,26,16,59,19,19,30,15,51
452,49.5,33,33.5,53,39,36,45,33.5,14,48.5,56,20.5,59,45,22,30,48.5,53.5
453,19,22,26,31,16,46.5,51,24,49,59.5,53.5,41,55.5,32,61.5,42.5,40,26
454,47,27,27,31,14,59,29,37,15,25,59,26,22,26,33,44,47,25